Aika;Alue;val
Vuosi 2020 Viikko 01;Ahvenanmaa;0
Vuosi 2020 Viikko 02;Ahvenanmaa;0
Vuosi 2020 Viikko 03;Ahvenanmaa;0
Vuosi 2020 Viikko 04;Ahvenanmaa;0
Vuosi 2020 Viikko 05;Ahvenanmaa;0
Vuosi 2020 Viikko 06;Ahvenanmaa;0
Vuosi 2020 Viikko 07;Ahvenanmaa;0
Vuosi 2020 Viikko 08;Ahvenanmaa;0
Vuosi 2020 Viikko 09;Ahvenanmaa;0
Vuosi 2020 Viikko 10;Ahvenanmaa;0
Vuosi 2020 Viikko 11;Ahvenanmaa;0
Vuosi 2020 Viikko 12;Ahvenanmaa;4
Vuosi 2020 Viikko 13;Ahvenanmaa;3
Vuosi 2020 Viikko 14;Ahvenanmaa;1
Vuosi 2020 Viikko 15;Ahvenanmaa;2
Vuosi 2020 Viikko 16;Ahvenanmaa;0
Vuosi 2020 Viikko 17;Ahvenanmaa;1
Vuosi 2020 Viikko 18;Ahvenanmaa;0
Vuosi 2020 Viikko 19;Ahvenanmaa;0
Vuosi 2020 Viikko 20;Ahvenanmaa;0
Vuosi 2020 Viikko 21;Ahvenanmaa;1
Vuosi 2020 Viikko 22;Ahvenanmaa;1
Vuosi 2020 Viikko 23;Ahvenanmaa;3
Vuosi 2020 Viikko 24;Ahvenanmaa;2
Vuosi 2020 Viikko 25;Ahvenanmaa;0
Vuosi 2020 Viikko 26;Ahvenanmaa;1
Vuosi 2020 Viikko 27;Ahvenanmaa;0
Vuosi 2020 Viikko 28;Ahvenanmaa;0
Vuosi 2020 Viikko 29;Ahvenanmaa;0
Vuosi 2020 Viikko 30;Ahvenanmaa;1
Vuosi 2020 Viikko 31;Ahvenanmaa;0
Vuosi 2020 Viikko 32;Ahvenanmaa;0
Vuosi 2020 Viikko 33;Ahvenanmaa;0
Vuosi 2020 Viikko 34;Ahvenanmaa;1
Vuosi 2020 Viikko 35;Ahvenanmaa;0
Vuosi 2020 Viikko 36;Ahvenanmaa;0
Vuosi 2020 Viikko 37;Ahvenanmaa;0
Vuosi 2020 Viikko 38;Ahvenanmaa;0
Vuosi 2020 Viikko 39;Ahvenanmaa;1
Vuosi 2020 Viikko 40;Ahvenanmaa;0
Vuosi 2020 Viikko 41;Ahvenanmaa;4
Vuosi 2020 Viikko 42;Ahvenanmaa;1
Vuosi 2020 Viikko 43;Ahvenanmaa;8
Vuosi 2020 Viikko 44;Ahvenanmaa;3
Vuosi 2020 Viikko 45;Ahvenanmaa;5
Vuosi 2020 Viikko 46;Ahvenanmaa;0
Vuosi 2020 Viikko 47;Ahvenanmaa;3
Vuosi 2020 Viikko 48;Ahvenanmaa;2
Vuosi 2020 Viikko 49;Ahvenanmaa;0
Vuosi 2020 Viikko 50;Ahvenanmaa;8
Vuosi 2020 Viikko 51;Ahvenanmaa;12
Vuosi 2020 Viikko 52;Ahvenanmaa;27
Vuosi 2020 Viikko 53;Ahvenanmaa;8
Vuosi 2021 Viikko 01;Ahvenanmaa;8
Vuosi 2021 Viikko 02;Ahvenanmaa;1
Vuosi 2021 Viikko 03;Ahvenanmaa;
Vuosi 2021 Viikko 04;Ahvenanmaa;
Vuosi 2021 Viikko 05;Ahvenanmaa;
Vuosi 2021 Viikko 06;Ahvenanmaa;
Vuosi 2021 Viikko 07;Ahvenanmaa;
Vuosi 2021 Viikko 08;Ahvenanmaa;
Vuosi 2021 Viikko 09;Ahvenanmaa;
Vuosi 2021 Viikko 10;Ahvenanmaa;
Vuosi 2021 Viikko 11;Ahvenanmaa;
Vuosi 2021 Viikko 12;Ahvenanmaa;
Vuosi 2021 Viikko 13;Ahvenanmaa;
Vuosi 2021 Viikko 14;Ahvenanmaa;
Vuosi 2021 Viikko 15;Ahvenanmaa;
Vuosi 2021 Viikko 16;Ahvenanmaa;
Vuosi 2021 Viikko 17;Ahvenanmaa;
Vuosi 2021 Viikko 18;Ahvenanmaa;
Vuosi 2021 Viikko 19;Ahvenanmaa;
Vuosi 2021 Viikko 20;Ahvenanmaa;
Vuosi 2021 Viikko 21;Ahvenanmaa;
Vuosi 2021 Viikko 22;Ahvenanmaa;
Vuosi 2021 Viikko 23;Ahvenanmaa;
Vuosi 2021 Viikko 24;Ahvenanmaa;
Vuosi 2021 Viikko 25;Ahvenanmaa;
Vuosi 2021 Viikko 26;Ahvenanmaa;
Vuosi 2021 Viikko 27;Ahvenanmaa;
Vuosi 2021 Viikko 28;Ahvenanmaa;
Vuosi 2021 Viikko 29;Ahvenanmaa;
Vuosi 2021 Viikko 30;Ahvenanmaa;
Vuosi 2021 Viikko 31;Ahvenanmaa;
Vuosi 2021 Viikko 32;Ahvenanmaa;
Vuosi 2021 Viikko 33;Ahvenanmaa;
Vuosi 2021 Viikko 34;Ahvenanmaa;
Vuosi 2021 Viikko 35;Ahvenanmaa;
Vuosi 2021 Viikko 36;Ahvenanmaa;
Vuosi 2021 Viikko 37;Ahvenanmaa;
Vuosi 2021 Viikko 38;Ahvenanmaa;
Vuosi 2021 Viikko 39;Ahvenanmaa;
Vuosi 2021 Viikko 40;Ahvenanmaa;
Vuosi 2021 Viikko 41;Ahvenanmaa;
Vuosi 2021 Viikko 42;Ahvenanmaa;
Vuosi 2021 Viikko 43;Ahvenanmaa;
Vuosi 2021 Viikko 44;Ahvenanmaa;
Vuosi 2021 Viikko 45;Ahvenanmaa;
Vuosi 2021 Viikko 46;Ahvenanmaa;
Vuosi 2021 Viikko 47;Ahvenanmaa;
Vuosi 2021 Viikko 48;Ahvenanmaa;
Vuosi 2021 Viikko 49;Ahvenanmaa;
